Time,DecimalCode
9.585334e-06,127
1.958533e-05,127
2.958533e-05,127
3.958533e-05,126
4.958533e-05,126
5.958533e-05,125
6.958533e-05,125
7.958533e-05,125
8.958533e-05,124
9.958533e-05,124
1.095853e-04,123
1.195853e-04,123
1.295853e-04,123
1.395853e-04,122
1.495853e-04,122
1.595853e-04,121
1.695853e-04,121
1.795853e-04,121
1.895853e-04,120
1.995853e-04,120
2.095853e-04,120
2.195853e-04,119
2.295853e-04,119
2.395853e-04,118
2.495853e-04,118
2.595853e-04,118
2.695853e-04,117
2.795853e-04,117
2.895853e-04,116
2.995853e-04,116
3.095853e-04,116
3.195853e-04,115
3.295853e-04,115
3.395853e-04,114
3.495853e-04,114
3.595853e-04,114
3.695853e-04,113
3.795853e-04,113
3.895853e-04,113
3.995853e-04,112
4.095853e-04,112
4.195853e-04,111
4.295853e-04,111
4.395853e-04,111
4.495853e-04,110
4.595853e-04,110
4.695853e-04,109
4.795853e-04,109
4.895853e-04,109
4.995853e-04,108
5.095853e-04,108
5.195853e-04,107
5.295853e-04,107
5.395853e-04,107
5.495853e-04,106
5.595853e-04,106
5.695853e-04,106
5.795853e-04,105
5.895853e-04,105
5.995853e-04,104
6.095853e-04,104
6.195853e-04,104
6.295853e-04,103
6.395853e-04,103
6.495853e-04,102
6.595853e-04,102
6.695853e-04,102
6.795853e-04,101
6.895853e-04,101
6.995853e-04,101
7.095853e-04,100
7.195853e-04,100
7.295853e-04,99
7.395853e-04,99
7.495853e-04,99
7.595853e-04,98
7.695853e-04,98
7.795853e-04,98
7.895853e-04,97
7.995853e-04,97
8.095853e-04,96
8.195853e-04,96
8.295853e-04,96
8.395853e-04,95
8.495853e-04,95
8.595853e-04,94
8.695853e-04,94
8.795853e-04,94
8.895853e-04,93
8.995853e-04,93
9.095853e-04,93
9.195853e-04,92
9.295853e-04,92
9.395853e-04,91
9.495853e-04,91
9.595853e-04,91
9.695853e-04,90
9.795853e-04,90
9.895853e-04,90
9.995853e-04,89
1.009585e-03,89
1.019585e-03,88
1.029585e-03,88
1.039585e-03,88
1.049585e-03,87
1.059585e-03,87
1.069585e-03,87
1.079585e-03,86
1.089585e-03,86
1.099585e-03,85
1.109585e-03,85
1.119585e-03,85
1.129585e-03,84
1.139585e-03,84
1.149585e-03,84
1.159585e-03,83
1.169585e-03,83
1.179585e-03,83
1.189585e-03,82
1.199585e-03,82
1.209585e-03,81
1.219585e-03,81
1.229585e-03,81
1.239585e-03,80
1.249585e-03,80
1.259585e-03,80
1.269585e-03,79
1.279585e-03,79
1.289585e-03,79
1.299585e-03,78
1.309585e-03,78
1.319585e-03,77
1.329585e-03,77
1.339585e-03,77
1.349585e-03,76
1.359585e-03,76
1.369585e-03,76
1.379585e-03,75
1.389585e-03,75
1.399585e-03,75
1.409585e-03,74
1.419585e-03,74
1.429585e-03,73
1.439585e-03,73
1.449585e-03,73
1.459585e-03,72
1.469585e-03,72
1.479585e-03,72
1.489585e-03,71
1.499585e-03,71
1.509585e-03,71
1.519585e-03,70
1.529585e-03,70
1.539585e-03,70
1.549585e-03,69
1.559585e-03,69
1.569585e-03,69
1.579585e-03,68
1.589585e-03,68
1.599585e-03,68
1.609585e-03,67
1.619585e-03,67
1.629585e-03,67
1.639585e-03,66
1.649585e-03,66
1.659585e-03,65
1.669585e-03,65
1.679585e-03,65
1.689585e-03,64
1.699585e-03,64
1.709585e-03,64
1.719585e-03,63
1.729585e-03,63
1.739585e-03,63
1.749585e-03,62
1.759585e-03,62
1.769585e-03,62
1.779585e-03,61
1.789585e-03,61
1.799585e-03,61
1.809585e-03,60
1.819585e-03,60
1.829585e-03,60
1.839585e-03,59
1.849585e-03,59
1.859585e-03,59
1.869585e-03,58
1.879585e-03,58
1.889585e-03,58
1.899585e-03,57
1.909585e-03,57
1.919585e-03,57
1.929585e-03,56
1.939585e-03,56
1.949585e-03,56
1.959585e-03,55
1.969585e-03,55
1.979585e-03,55
1.989585e-03,54
1.999585e-03,54
2.009585e-03,54
2.019585e-03,53
2.029585e-03,53
2.039585e-03,53
2.049585e-03,53
2.059585e-03,52
2.069585e-03,52
2.079585e-03,52
2.089585e-03,51
2.099585e-03,51
2.109585e-03,51
2.119585e-03,50
2.129585e-03,50
2.139585e-03,50
2.149585e-03,49
2.159585e-03,49
2.169585e-03,49
2.179585e-03,48
2.189585e-03,48
2.199585e-03,48
2.209585e-03,48
2.219585e-03,47
2.229585e-03,47
2.239585e-03,47
2.249585e-03,46
2.259585e-03,46
2.269585e-03,46
2.279585e-03,45
2.289585e-03,45
2.299585e-03,45
2.309585e-03,45
2.319585e-03,44
2.329585e-03,44
2.339585e-03,44
2.349585e-03,43
2.359585e-03,43
2.369585e-03,43
2.379585e-03,42
2.389585e-03,42
2.399585e-03,42
2.409585e-03,42
2.419585e-03,41
2.429585e-03,41
2.439585e-03,41
2.449585e-03,40
2.459585e-03,40
2.469585e-03,40
2.479585e-03,40
2.489585e-03,39
2.499585e-03,39
2.509585e-03,39
2.519585e-03,38
2.529585e-03,38
2.539585e-03,38
2.549585e-03,38
2.559585e-03,37
2.569585e-03,37
2.579585e-03,37
2.589585e-03,36
2.599585e-03,36
2.609585e-03,36
2.619585e-03,36
2.629585e-03,35
2.639585e-03,35
2.649585e-03,35
2.659585e-03,35
2.669585e-03,34
2.679585e-03,34
2.689585e-03,34
2.699585e-03,34
2.709585e-03,33
2.719585e-03,33
2.729585e-03,33
2.739585e-03,32
2.749585e-03,32
2.759585e-03,32
2.769585e-03,32
2.779585e-03,31
2.789585e-03,31
2.799585e-03,31
2.809585e-03,31
2.819585e-03,30
2.829585e-03,30
2.839585e-03,30
2.849585e-03,30
2.859585e-03,29
2.869585e-03,29
2.879585e-03,29
2.889585e-03,29
2.899585e-03,28
2.909585e-03,28
2.919585e-03,28
2.929585e-03,28
2.939585e-03,27
2.949585e-03,27
2.959585e-03,27
2.969585e-03,27
2.979585e-03,26
2.989585e-03,26
2.999585e-03,26
3.009585e-03,26
3.019585e-03,25
3.029585e-03,25
3.039585e-03,25
3.049585e-03,25
3.059585e-03,25
3.069585e-03,24
3.079585e-03,24
3.089585e-03,24
3.099585e-03,24
3.109585e-03,23
3.119585e-03,23
3.129585e-03,23
3.139585e-03,23
3.149585e-03,22
3.159585e-03,22
3.169585e-03,22
3.179585e-03,22
3.189585e-03,22
3.199585e-03,21
3.209585e-03,21
3.219585e-03,21
3.229585e-03,21
3.239585e-03,21
3.249585e-03,20
3.259585e-03,20
3.269585e-03,20
3.279585e-03,20
3.289585e-03,19
3.299585e-03,19
3.309585e-03,19
3.319585e-03,19
3.329585e-03,19
3.339585e-03,18
3.349585e-03,18
3.359585e-03,18
3.369585e-03,18
3.379585e-03,18
3.389585e-03,17
3.399585e-03,17
3.409585e-03,17
3.419585e-03,17
3.429585e-03,17
3.439585e-03,16
3.449585e-03,16
3.459585e-03,16
3.469585e-03,16
3.479585e-03,16
3.489585e-03,15
3.499585e-03,15
3.509585e-03,15
3.519585e-03,15
3.529585e-03,15
3.539585e-03,15
3.549585e-03,14
3.559585e-03,14
3.569585e-03,14
3.579585e-03,14
3.589585e-03,14
3.599585e-03,13
3.609585e-03,13
3.619585e-03,13
3.629585e-03,13
3.639585e-03,13
3.649585e-03,13
3.659585e-03,12
3.669585e-03,12
3.679585e-03,12
3.689585e-03,12
3.699585e-03,12
3.709585e-03,12
3.719585e-03,11
3.729585e-03,11
3.739585e-03,11
3.749585e-03,11
3.759585e-03,11
3.769585e-03,11
3.779585e-03,10
3.789585e-03,10
3.799585e-03,10
3.809585e-03,10
3.819585e-03,10
3.829585e-03,10
3.839585e-03,10
3.849585e-03,9
3.859585e-03,9
3.869585e-03,9
3.879585e-03,9
3.889585e-03,9
3.899585e-03,9
3.909585e-03,8
3.919585e-03,8
3.929585e-03,8
3.939585e-03,8
3.949585e-03,8
3.959585e-03,8
3.969585e-03,8
3.979585e-03,8
3.989585e-03,7
3.999585e-03,7
4.009585e-03,7
4.019585e-03,7
4.029585e-03,7
4.039585e-03,7
4.049585e-03,7
4.059585e-03,6
4.069585e-03,6
4.079585e-03,6
4.089585e-03,6
4.099585e-03,6
4.109585e-03,6
4.119585e-03,6
4.129585e-03,6
4.139585e-03,6
4.149585e-03,5
4.159585e-03,5
4.169585e-03,5
4.179585e-03,5
4.189585e-03,5
4.199585e-03,5
4.209585e-03,5
4.219585e-03,5
4.229585e-03,4
4.239585e-03,4
4.249585e-03,4
4.259585e-03,4
4.269585e-03,4
4.279585e-03,4
4.289585e-03,4
4.299585e-03,4
4.309585e-03,4
4.319585e-03,4
4.329585e-03,3
4.339585e-03,3
4.349585e-03,3
4.359585e-03,3
4.369585e-03,3
4.379585e-03,3
4.389585e-03,3
4.399585e-03,3
4.409585e-03,3
4.419585e-03,3
4.429585e-03,3
4.439585e-03,3
4.449585e-03,2
4.459585e-03,2
4.469585e-03,2
4.479585e-03,2
4.489585e-03,2
4.499585e-03,2
4.509585e-03,2
4.519585e-03,2
4.529585e-03,2
4.539585e-03,2
4.549585e-03,2
4.559585e-03,2
4.569585e-03,2
4.579585e-03,1
4.589585e-03,1
4.599585e-03,1
4.609585e-03,1
4.619585e-03,1
4.629585e-03,1
4.639585e-03,1
4.649585e-03,1
4.659585e-03,1
4.669585e-03,1
4.679585e-03,1
4.689585e-03,1
4.699585e-03,1
4.709585e-03,1
4.719585e-03,1
4.729585e-03,1
4.739585e-03,1
4.749585e-03,1
4.759585e-03,0
4.769585e-03,0
4.779585e-03,0
4.789585e-03,0
4.799585e-03,0
4.809585e-03,0
4.819585e-03,0
4.829585e-03,0
4.839585e-03,0
4.849585e-03,0
4.859585e-03,0
4.869585e-03,0
4.879585e-03,0
4.889585e-03,0
4.899585e-03,0
4.909585e-03,0
4.919585e-03,0
4.929585e-03,0
4.939585e-03,0
4.949585e-03,0
4.959585e-03,0
4.969585e-03,0
4.979585e-03,0
4.989585e-03,0
4.999585e-03,0
5.009585e-03,0
5.019585e-03,0
5.029585e-03,0
5.039585e-03,0
5.049585e-03,0
5.059585e-03,0
5.069585e-03,0
5.079585e-03,0
5.089585e-03,0
5.099585e-03,0
5.109585e-03,0
5.119585e-03,0
5.129585e-03,0
5.139585e-03,0
5.149585e-03,0
5.159585e-03,0
5.169585e-03,0
5.179585e-03,0
5.189585e-03,0
5.199585e-03,0
5.209585e-03,0
5.219585e-03,0
5.229585e-03,0
5.239585e-03,0
5.249585e-03,0
5.259585e-03,0
5.269585e-03,0
5.279585e-03,0
5.289585e-03,0
5.299585e-03,0
5.309585e-03,0
5.319585e-03,0
5.329585e-03,0
5.339585e-03,0
5.349585e-03,0
5.359585e-03,0
5.369585e-03,0
5.379585e-03,0
5.389585e-03,0
5.399585e-03,0
5.409585e-03,0
5.419585e-03,0
5.429585e-03,0
5.439585e-03,0
5.449585e-03,0
5.459585e-03,0
5.469585e-03,0
5.479585e-03,0
5.489585e-03,0
5.499585e-03,1
5.509585e-03,1
5.519585e-03,1
5.529585e-03,1
5.539585e-03,1
5.549585e-03,1
5.559585e-03,1
5.569585e-03,1
5.579585e-03,1
5.589585e-03,1
5.599585e-03,1
5.609585e-03,1
5.619585e-03,1
5.629585e-03,1
5.639585e-03,1
5.649585e-03,1
5.659585e-03,1
5.669585e-03,1
5.679585e-03,2
5.689585e-03,2
5.699585e-03,2
5.709585e-03,2
5.719585e-03,2
5.729585e-03,2
5.739585e-03,2
5.749585e-03,2
5.759585e-03,2
5.769585e-03,2
5.779585e-03,2
5.789585e-03,2
5.799585e-03,2
5.809585e-03,2
5.819585e-03,3
5.829585e-03,3
5.839585e-03,3
5.849585e-03,3
5.859585e-03,3
5.869585e-03,3
5.879585e-03,3
5.889585e-03,3
5.899585e-03,3
5.909585e-03,3
5.919585e-03,3
5.929585e-03,4
5.939585e-03,4
5.949585e-03,4
5.959585e-03,4
5.969585e-03,4
5.979585e-03,4
5.989585e-03,4
5.999585e-03,4
6.009585e-03,4
6.019585e-03,4
6.029585e-03,5
6.039585e-03,5
6.049585e-03,5
6.059585e-03,5
6.069585e-03,5
6.079585e-03,5
6.089585e-03,5
6.099585e-03,5
6.109585e-03,5
6.119585e-03,6
6.129585e-03,6
6.139585e-03,6
6.149585e-03,6
6.159585e-03,6
6.169585e-03,6
6.179585e-03,6
6.189585e-03,6
6.199585e-03,7
6.209585e-03,7
6.219585e-03,7
6.229585e-03,7
6.239585e-03,7
6.249585e-03,7
6.259585e-03,7
6.269585e-03,7
6.279585e-03,8
6.289585e-03,8
6.299585e-03,8
6.309585e-03,8
6.319585e-03,8
6.329585e-03,8
6.339585e-03,8
6.349585e-03,9
6.359585e-03,9
6.369585e-03,9
6.379585e-03,9
6.389585e-03,9
6.399585e-03,9
6.409585e-03,9
6.419585e-03,10
6.429585e-03,10
6.439585e-03,10
6.449585e-03,10
6.459585e-03,10
6.469585e-03,10
6.479585e-03,10
6.489585e-03,11
6.499585e-03,11
6.509585e-03,11
6.519585e-03,11
6.529585e-03,11
6.539585e-03,11
6.549585e-03,12
6.559585e-03,12
6.569585e-03,12
6.579585e-03,12
6.589585e-03,12
6.599585e-03,12
6.609585e-03,13
6.619585e-03,13
6.629585e-03,13
6.639585e-03,13
6.649585e-03,13
6.659585e-03,13
6.669585e-03,14
6.679585e-03,14
6.689585e-03,14
6.699585e-03,14
6.709585e-03,14
6.719585e-03,15
6.729585e-03,15
6.739585e-03,15
6.749585e-03,15
6.759585e-03,15
6.769585e-03,16
6.779585e-03,16
6.789585e-03,16
6.799585e-03,16
6.809585e-03,16
6.819585e-03,16
6.829585e-03,17
6.839585e-03,17
6.849585e-03,17
6.859585e-03,17
6.869585e-03,17
6.879585e-03,18
6.889585e-03,18
6.899585e-03,18
6.909585e-03,18
6.919585e-03,18
6.929585e-03,19
6.939585e-03,19
6.949585e-03,19
6.959585e-03,19
6.969585e-03,20
6.979585e-03,20
6.989585e-03,20
6.999585e-03,20
7.009585e-03,20
7.019585e-03,21
7.029585e-03,21
7.039585e-03,21
7.049585e-03,21
7.059585e-03,21
7.069585e-03,22
7.079585e-03,22
7.089585e-03,22
7.099585e-03,22
7.109585e-03,23
7.119585e-03,23
7.129585e-03,23
7.139585e-03,23
7.149585e-03,23
7.159585e-03,24
7.169585e-03,24
7.179585e-03,24
7.189585e-03,24
7.199585e-03,25
7.209585e-03,25
7.219585e-03,25
7.229585e-03,25
7.239585e-03,26
7.249585e-03,26
7.259585e-03,26
7.269585e-03,26
7.279585e-03,26
7.289585e-03,27
7.299585e-03,27
7.309585e-03,27
7.319585e-03,27
7.329585e-03,28
7.339585e-03,28
